;
;                          Classification Codes (CL)
;,,,,,,,,,
; SG = spiral galaxy           DN = diffuse nebula       OC = open cluster
; EG = elliptical galaxy       PN = planetary nebula     GC = globular cluster
; IG = irregular galaxy        DK = dark nebula          DS = double star
;                                                        QS = quasar
;       Compiled by Darrell W. Green - CompuServe [72406,1736]
;
Catalogue,Messier,Constellation,Class,Right ascension,Declination,Magnitude,Angular size,Burnham,Remarks
NGC3631,,Ursa Major,Spiral galaxy,11h 21m,53° 10',10.4,4.3x3.2,,Sc -bright face-on spiral
NGC3646,,Leo,Spiral galaxy,11h 21.7m,20° 10',11.2,3.2x1.9,,Sc
NGC3675,,Ursa Major,Spiral galaxy,11h 26.1m,43° 35',10.6,3.5x1.3,,Sb - elongated N-S
NGC3718,,Ursa Major,Spiral galaxy,11h 32.6m,53° 4',10.5,3x3,,SBap - central dust lane
NGC3726,,Ursa Major,Spiral galaxy,11h 33.3m,47° 2',10.4,5.0x3.4,,Sc - well defined spiral
NGC3729,,Ursa Major,Spiral galaxy,11h 33.8m,53° 8',11.4,1.8x1.3,,SBp - NGC 3718 in field
NGC3810,,Leo,Spiral galaxy,11h 41m,11° 28',10.8,3.6x2.5,,Sc
NGC3877,,Ursa Major,Spiral galaxy,11h 46.1m,47° 30',10.9,4.4x0.8,,Sb - edge-on
NGC3893,,Ursa Major,Spiral galaxy,11h 48.6m,48° 43',11,3.7x1.9,,Sc
NGC3923,,Hydra,Elliptical galaxy,11h 51m,-28° 48',10.1,2.0x1.2,,E3
NGC3941,,Ursa Major,Elliptical galaxy,11h 52.9m,36° 59',9.8,1.8x1.2,,E3
NGC3945,,Ursa Major,Spiral galaxy,11h 53.2m,60° 41',10.6,5.2x2.2,,SBa - outer ring
NGC3949,,Ursa Major,Spiral galaxy,11h 53.7m,47° 52',11,2.3x1.1,,Sb
NGC3953,,Ursa Major,Spiral galaxy,11h 53.8m,52° 20',10.1,6.0x2.8,,Sb - fine multiple arm SG
NGC3962,,Crater,Elliptical galaxy,11h 54.7m,-13° 58',10.6,1.1x0.9,,E2
